Time,Airport,Altamount,Vashi,Virar,Mallc,Hospc
1,19,33.9,11.8,62.2,1,7
2,19,33.9,11.8,62.2,1,7
3,19,33.9,11.8,62.2,1,7
4,19,33.9,11.8,62.2,1,7
5,19,33.9,11.8,62.2,1,7
6,19,33.9,11.8,62.2,1,7
7,19,33.9,11.8,62.2,1,7
8,19,33.9,11.8,62.2,1,7
9,19,33.9,11.8,62.2,1,7
10,19,33.9,11.8,62.2,1,7
11,19,33.9,11.8,62.2,1,7
12,19,33.9,11.8,62.2,1,7
13,19,33.9,11.8,62.2,1,7
14,19,33.9,11.8,62.2,1,7
15,19,33.9,11.8,62.2,1,7
16,19,33.9,11.8,62.2,1,7
17,19,33.9,11.8,62.2,1,7
18,19,33.9,11.8,62.2,1,7
19,19,33.9,11.8,62.2,1,7
20,19,33.9,11.8,62.2,1,7
21,19,33.9,11.8,62.2,1,7
22,19,33.9,11.8,62.2,1,7
23,19,33.9,11.8,62.2,1,7
24,19,33.9,11.8,62.2,1,7
25,19,33.9,11.8,62.2,1,7
26,19,33.9,11.8,62.2,1,7
27,19,33.9,11.8,62.2,1,7
28,19,33.9,11.8,62.2,1,7
29,19,33.9,11.8,62.2,1,7
30,19,33.9,11.8,62.2,1,7
