Bias,Time,Airport,Altamount,Vashi,Virar,Malls
1,0,19,33.9,11.8,62.2,1
1,1,19,33.9,11.8,62.2,1
1,2,19,33.9,11.8,62.2,1
1,3,19,33.9,11.8,62.2,1
1,4,19,33.9,11.8,62.2,1
1,5,19,33.9,11.8,62.2,1
1,6,19,33.9,11.8,62.2,1
1,7,19,33.9,11.8,62.2,1
1,8,19,33.9,11.8,62.2,1
1,9,19,33.9,11.8,62.2,1
1,10,19,33.9,11.8,62.2,1
1,11,19,33.9,11.8,62.2,1
1,12,19,33.9,11.8,62.2,1
1,13,19,33.9,11.8,62.2,1
1,14,19,33.9,11.8,62.2,1
1,15,19,33.9,11.8,62.2,1
1,16,19,33.9,11.8,62.2,1
1,17,19,33.9,11.8,62.2,1
1,18,19,33.9,11.8,62.2,1
1,19,19,33.9,11.8,62.2,1
1,20,19,33.9,11.8,62.2,1
1,21,19,33.9,11.8,62.2,1
1,22,19,33.9,11.8,62.2,1
1,23,19,33.9,11.8,62.2,1
1,24,19,33.9,11.8,62.2,1
1,25,19,33.9,11.8,62.2,1
1,26,19,33.9,11.8,62.2,1
1,18,7.7,25.8,28,95.7,0
1,19,7.7,25.8,28,95.7,0
1,20,7.7,25.8,28,95.7,0
1,21,7.7,25.8,28,95.7,0
1,22,7.7,25.8,28,95.7,0
1,23,7.7,25.8,28,95.7,0
1,24,7.7,25.8,28,95.7,0
1,25,7.7,25.8,28,95.7,0
1,26,7.7,25.8,28,95.7,0
1,0,21.6,36.5,7.8,64.8,0
1,1,21.6,36.5,7.8,64.8,0
1,2,21.6,36.5,7.8,64.8,0
1,3,21.6,36.5,7.8,64.8,0
1,4,21.6,36.5,7.8,64.8,0
1,5,21.6,36.5,7.8,64.8,0
1,6,21.6,36.5,7.8,64.8,0
1,7,21.6,36.5,7.8,64.8,0
1,8,21.6,36.5,7.8,64.8,0
1,9,21.6,36.5,7.8,64.8,0
1,10,21.6,36.5,7.8,64.8,0
1,11,21.6,36.5,7.8,64.8,0
1,12,21.6,36.5,7.8,64.8,0
1,13,21.6,36.5,7.8,64.8,0
1,14,21.6,36.5,7.8,64.8,0
1,15,21.6,36.5,7.8,64.8,0
1,16,21.6,36.5,7.8,64.8,0
1,17,21.6,36.5,7.8,64.8,0
1,18,21.6,36.5,7.8,64.8,0
1,19,21.6,36.5,7.8,64.8,0
1,20,21.6,36.5,7.8,64.8,0
1,21,21.6,36.5,7.8,64.8,0
1,22,21.6,36.5,7.8,64.8,0
1,23,21.6,36.5,7.8,64.8,0
1,24,21.6,36.5,7.8,64.8,0
1,25,21.6,36.5,7.8,64.8,0
1,26,21.6,36.5,7.8,64.8,0
1,17,26.9,36.8,6.3,73.7,0
1,18,26.9,36.8,6.3,73.7,0
1,19,26.9,36.8,6.3,73.7,0
1,20,26.9,36.8,6.3,73.7,0
1,23,26.9,36.8,6.3,73.7,0
1,26,26.9,36.8,6.3,73.7,0
1,2,37.5,47.4,17.6,78,0
1,3,37.5,47.4,17.6,78,0
