Time,Airport,Altamount,Vashi,Virar
0,19,33.9,11.8,62.2
1,19,33.9,11.8,62.2
2,19,33.9,11.8,62.2
3,19,33.9,11.8,62.2
4,19,33.9,11.8,62.2
5,19,33.9,11.8,62.2
6,19,33.9,11.8,62.2
7,19,33.9,11.8,62.2
8,19,33.9,11.8,62.2
9,19,33.9,11.8,62.2
10,19,33.9,11.8,62.2
11,19,33.9,11.8,62.2
12,19,33.9,11.8,62.2
13,19,33.9,11.8,62.2
14,19,33.9,11.8,62.2
15,19,33.9,11.8,62.2
16,19,33.9,11.8,62.2
17,19,33.9,11.8,62.2
18,19,33.9,11.8,62.2
19,19,33.9,11.8,62.2
20,19,33.9,11.8,62.2
21,19,33.9,11.8,62.2
22,19,33.9,11.8,62.2
23,19,33.9,11.8,62.2
24,19,33.9,11.8,62.2
25,19,33.9,11.8,62.2
26,19,33.9,11.8,62.2
27,19,33.9,11.8,62.2
28,19,33.9,11.8,62.2
29,19,33.9,11.8,62.2
18,7.7,25.8,28,95.7
19,7.7,25.8,28,95.7
20,7.7,25.8,28,95.7
21,7.7,25.8,28,95.7
22,7.7,25.8,28,95.7
23,7.7,25.8,28,95.7
24,7.7,25.8,28,95.7
25,7.7,25.8,28,95.7
26,7.7,25.8,28,95.7
27,7.7,25.8,28,95.7
28,7.7,25.8,28,95.7
29,7.7,25.8,28,95.7
0,21.6,36.5,7.8,64.8
1,21.6,36.5,7.8,64.8
2,21.6,36.5,7.8,64.8
3,21.6,36.5,7.8,64.8
4,21.6,36.5,7.8,64.8
5,21.6,36.5,7.8,64.8
6,21.6,36.5,7.8,64.8
7,21.6,36.5,7.8,64.8
8,21.6,36.5,7.8,64.8
9,21.6,36.5,7.8,64.8
10,21.6,36.5,7.8,64.8
11,21.6,36.5,7.8,64.8
12,21.6,36.5,7.8,64.8
13,21.6,36.5,7.8,64.8
14,21.6,36.5,7.8,64.8
15,21.6,36.5,7.8,64.8
16,21.6,36.5,7.8,64.8
17,21.6,36.5,7.8,64.8
18,21.6,36.5,7.8,64.8
19,21.6,36.5,7.8,64.8
20,21.6,36.5,7.8,64.8
21,21.6,36.5,7.8,64.8
22,21.6,36.5,7.8,64.8
23,21.6,36.5,7.8,64.8
24,21.6,36.5,7.8,64.8
25,21.6,36.5,7.8,64.8
26,21.6,36.5,7.8,64.8
27,21.6,36.5,7.8,64.8
28,21.6,36.5,7.8,64.8
29,21.6,36.5,7.8,64.8
27,22.8,37.7,5.4,65.9
28,22.8,37.7,5.4,65.9
29,22.8,37.7,5.4,65.9
17,26.9,36.8,6.3,73.7
18,26.9,36.8,6.3,73.7
19,26.9,36.8,6.3,73.7
20,26.9,36.8,6.3,73.7
23,26.9,36.8,6.3,73.7
26,26.9,36.8,6.3,73.7
27,26.9,36.8,6.3,73.7
28,26.9,36.8,6.3,73.7
