Bias,Time,Airport,Altamount,Vashi,Virar,Malls
1,27,19,33.9,11.8,62.2,1
1,28,19,33.9,11.8,62.2,1
1,29,19,33.9,11.8,62.2,1
1,27,7.7,25.8,28,95.7,0
1,28,7.7,25.8,28,95.7,0
1,29,7.7,25.8,28,95.7,0
1,27,21.6,36.5,7.8,64.8,0
1,28,21.6,36.5,7.8,64.8,0
1,29,21.6,36.5,7.8,64.8,0
1,27,22.8,37.7,5.4,65.9,0
1,28,22.8,37.7,5.4,65.9,0
1,29,22.8,37.7,5.4,65.9,0
1,27,26.9,36.8,6.3,73.7,0
1,28,26.9,36.8,6.3,73.7,0
1,29,26.9,36.8,6.3,73.7,0
1,27,37.5,47.4,17.6,78,0
1,28,37.5,47.4,17.6,78,0
1,29,37.5,47.4,17.6,78,0
1,27,37.6,47.5,17.7,85,2
1,28,37.6,47.5,17.7,85,2
1,29,37.6,47.5,17.7,85,2
1,27,44.5,54.4,24.6,92,0
1,28,44.5,54.4,24.6,92,0
1,29,44.5,54.4,24.6,92,0
1,27,69.7,79.6,49.8,117,0
1,28,69.7,79.6,49.8,117,0
1,29,69.7,79.6,49.8,117,0
1,27,39.4,49.3,19.5,86.9,3
1,28,39.4,49.3,19.5,86.9,3
1,29,39.4,49.3,19.5,86.9,3
1,27,38.5,48.4,18.6,85.9,2
1,28,38.5,48.4,18.6,85.9,2
1,29,38.5,48.4,18.6,85.9,2
1,27,35.1,45,15.2,77.6,2
1,28,35.1,45,15.2,77.6,2
1,29,35.1,45,15.2,77.6,2
1,27,24,36.1,3.9,67.1,0
1,28,24,36.1,3.9,67.1,0
1,29,24,36.1,3.9,67.1,0
1,27,38.3,48.2,18.4,74.2,0
1,28,38.3,48.2,18.4,74.2,0
1,29,38.3,48.2,18.4,74.2,0
1,27,39,48.9,19.1,75.9,0
1,28,39,48.9,19.1,75.9,0
1,29,39,48.9,19.1,75.9,0
1,27,28.7,38.6,7,76.2,5
1,28,28.7,38.6,7,76.2,5
1,29,28.7,38.6,7,76.2,5
1,27,31.5,41.4,10.2,78.9,2
1,28,31.5,41.4,10.2,78.9,2
1,29,31.5,41.4,10.2,78.9,2
1,27,40.9,50.8,21,88.4,3
1,28,40.9,50.8,21,88.4,3
1,29,40.9,50.8,21,88.4,3
1,27,37.1,47,17.2,75.8,0
1,28,37.1,47,17.2,75.8,0
1,29,37.1,47,17.2,75.8,0
1,27,23.4,34.3,2.9,73.4,4
1,28,23.4,34.3,2.9,73.4,4
1,29,23.4,34.3,2.9,73.4,4
1,27,43.9,53.8,22.4,89.7,4
1,28,43.9,53.8,22.4,89.7,4
1,29,43.9,53.8,22.4,89.7,4
1,28,40.2,50.1,20.3,74.2,1
1,29,40.2,50.1,20.3,74.2,1
1,27,37.1,47,17.2,78.2,0
1,28,37.1,47,17.2,78.2,0
1,29,37.1,47,17.2,78.2,0
1,27,23.9,33.8,4.1,72.3,1
1,28,23.9,33.8,4.1,72.3,1
1,29,23.9,33.8,4.1,72.3,1
1,27,29.6,39.5,9.5,77.1,3
1,28,29.6,39.5,9.5,77.1,3
1,29,29.6,39.5,9.5,77.1,3
1,27,37.3,47.2,17,84.7,0
1,28,37.3,47.2,17,84.7,0
1,29,37.3,47.2,17,84.7,0
1,27,33.6,43.5,13.7,81.1,1
1,28,33.6,43.5,13.7,81.1,1
1,29,33.6,43.5,13.7,81.1,1
1,27,33.8,43.7,13.9,81.2,2
1,28,33.8,43.7,13.9,81.2,2
1,29,33.8,43.7,13.9,81.2,2
1,27,36.7,46.6,16.8,84.1,0
1,28,36.7,46.6,16.8,84.1,0
1,29,36.7,46.6,16.8,84.1,0
1,27,33.4,43.3,13.5,80.8,1
1,28,33.4,43.3,13.5,80.8,1
1,29,33.4,43.3,13.5,80.8,1
1,27,37.9,47.8,17.6,85.3,0
1,28,37.9,47.8,17.6,85.3,0
1,29,37.9,47.8,17.6,85.3,0
1,27,18.7,33.6,10,61.9,0
1,28,18.7,33.6,10,61.9,0
1,29,18.7,33.6,10,61.9,0
1,27,38.1,48,17.8,85.5,0
1,28,38.1,48,17.8,85.5,0
1,29,38.1,48,17.8,85.5,0
1,28,37.3,47.2,17.4,84.7,1
1,29,37.3,47.2,17.4,84.7,1
1,27,34.7,44.6,15,77.8,0
1,28,34.7,44.6,15,77.8,0
1,29,34.7,44.6,15,77.8,0
1,27,35.3,45.2,15.4,77,1
1,28,35.3,45.2,15.4,77,1
1,29,35.3,45.2,15.4,77,1
1,27,35.3,45.2,15.4,77,0
1,28,35.3,45.2,15.4,77,0
1,29,35.3,45.2,15.4,77,0
1,27,38.5,48.3,18.2,85.9,0
1,28,38.5,48.3,18.2,85.9,0
1,29,38.5,48.3,18.2,85.9,0
1,27,37.7,47.6,17.8,85.1,0
1,28,37.7,47.6,17.8,85.1,0
1,29,37.7,47.6,17.8,85.1,0
1,27,36.9,46.7,16.6,84.3,0
1,28,36.9,46.7,16.6,84.3,0
1,29,36.9,46.7,16.6,84.3,0
1,27,19.1,33.9,11.8,62.2,0
1,28,19.1,33.9,11.8,62.2,0
1,29,19.1,33.9,11.8,62.2,0
1,27,23.9,36.4,4.3,67.1,0
1,28,23.9,36.4,4.3,67.1,0
1,29,23.9,36.4,4.3,67.1,0
1,27,26.6,36.5,6.1,76.1,0
1,28,26.6,36.5,6.1,76.1,0
1,29,26.6,36.5,6.1,76.1,0
1,27,35.9,45.8,16,83.3,0
1,28,35.9,45.8,16,83.3,0
1,29,35.9,45.8,16,83.3,0
1,27,38.9,48.8,19,86.3,0
1,28,38.9,48.8,19,86.3,0
1,29,38.9,48.8,19,86.3,0
1,27,38.9,48.8,19,86.3,0
1,28,38.9,48.8,19,86.3,0
1,29,38.9,48.8,19,86.3,0
1,27,36.7,46.6,16.8,75.2,0
1,28,36.7,46.6,16.8,75.2,0
1,29,36.7,46.6,16.8,75.2,0
1,27,29.9,39.8,10,77.4,1
1,28,29.9,39.8,10,77.4,1
1,29,29.9,39.8,10,77.4,1
1,27,30.6,40.5,10.7,78.1,4
1,28,30.6,40.5,10.7,78.1,4
1,29,30.6,40.5,10.7,78.1,4
1,27,38.1,48,18.2,73.9,2
1,28,38.1,48,18.2,73.9,2
1,29,38.1,48,18.2,73.9,2
1,27,37.8,47.7,17.9,73.7,0
1,28,37.8,47.7,17.9,73.7,0
1,29,37.8,47.7,17.9,73.7,0
1,27,37.1,47,17.2,84.6,1
1,28,37.1,47,17.2,84.6,1
1,29,37.1,47,17.2,84.6,1
1,27,38.3,48.2,18.4,74,1
1,28,38.3,48.2,18.4,74,1
1,29,38.3,48.2,18.4,74,1
1,27,37.2,47.1,17.3,75.2,2
1,28,37.2,47.1,17.3,75.2,2
1,29,37.2,47.1,17.3,75.2,2
1,27,37.5,47.4,17.6,75,2
1,28,37.5,47.4,17.6,75,2
1,29,37.5,47.4,17.6,75,2
1,27,29.6,39.5,9.1,79.6,0
1,28,29.6,39.5,9.1,79.6,0
1,29,29.6,39.5,9.1,79.6,0
1,27,32.7,42.6,12.8,80.2,1
1,28,32.7,42.6,12.8,80.2,1
1,29,32.7,42.6,12.8,80.2,1
1,27,36.9,46.8,16.6,84.4,0
1,28,36.9,46.8,16.6,84.4,0
1,29,36.9,46.8,16.6,84.4,0
1,27,31.9,41.8,12,79.3,1
1,28,31.9,41.8,12,79.3,1
1,29,31.9,41.8,12,79.3,1
1,27,36.5,46.4,16.2,84,1
1,28,36.5,46.4,16.2,84,1
1,29,36.5,46.4,16.2,84,1
1,27,37,46.9,17.1,84.4,1
1,28,37,46.9,17.1,84.4,1
1,29,37,46.9,17.1,84.4,1
1,27,33,42.9,13,80.4,3
1,28,33,42.9,13,80.4,3
1,29,33,42.9,13,80.4,3
1,27,18.6,33.5,10.2,61.7,0
1,28,18.6,33.5,10.2,61.7,0
1,29,18.6,33.5,10.2,61.7,0
1,27,18,32.9,10.6,61.1,0
1,28,18,32.9,10.6,61.1,0
1,29,18,32.9,10.6,61.1,0
1,27,37.3,47.2,17.4,84.7,0
1,28,37.3,47.2,17.4,84.7,0
1,29,37.3,47.2,17.4,84.7,0
1,27,33.9,43.8,14,81.3,1
1,28,33.9,43.8,14,81.3,1
1,29,33.9,43.8,14,81.3,1
1,27,30.5,40.4,10.6,77.9,3
1,28,30.5,40.4,10.6,77.9,3
1,29,30.5,40.4,10.6,77.9,3
1,27,33.9,43.8,14,81.3,2
1,28,33.9,43.8,14,81.3,2
1,29,33.9,43.8,14,81.3,2
1,27,25.8,35.7,2.7,69.1,0
1,28,25.8,35.7,2.7,69.1,0
1,29,25.8,35.7,2.7,69.1,0
1,27,34.5,44.4,14.6,81.9,0
1,28,34.5,44.4,14.6,81.9,0
1,29,34.5,44.4,14.6,81.9,0
1,27,34.7,44.6,15,77.4,1
1,28,34.7,44.6,15,77.4,1
1,29,34.7,44.6,15,77.4,1
1,27,31.8,41.7,10.8,79.3,1
1,28,31.8,41.7,10.8,79.3,1
1,29,31.8,41.7,10.8,79.3,1
1,27,34.3,44.2,14.4,81.8,2
1,28,34.3,44.2,14.4,81.8,2
1,29,34.3,44.2,14.4,81.8,2
1,27,38.2,48.1,18.3,85.6,0
1,28,38.2,48.1,18.3,85.6,0
1,29,38.2,48.1,18.3,85.6,0
1,27,38.1,48,17.8,85.6,0
1,28,38.1,48,17.8,85.6,0
1,29,38.1,48,17.8,85.6,0
1,27,22.3,32.2,0.75,71.5,0
1,28,22.3,32.2,0.75,71.5,0
1,29,22.3,32.2,0.75,71.5,0
1,27,38.3,48.2,18.4,85.7,0
1,28,38.3,48.2,18.4,85.7,0
1,29,38.3,48.2,18.4,85.7,0
1,27,34.8,44.7,14.9,76.4,0
1,28,34.8,44.7,14.9,76.4,0
1,29,34.8,44.7,14.9,76.4,0
1,27,38.2,48.1,18.3,85.6,2
