Time,Airport,Altamount,Vashi,Virar
22,28.7,38.6,7,76.2
23,28.7,38.6,7,76.2
24,28.7,38.6,7,76.2
25,28.7,38.6,7,76.2
26,28.7,38.6,7,76.2
27,28.7,38.6,7,76.2
28,28.7,38.6,7,76.2
29,28.7,38.6,7,76.2
26,31.5,41.4,10.2,78.9
27,31.5,41.4,10.2,78.9
28,31.5,41.4,10.2,78.9
29,31.5,41.4,10.2,78.9
24,40.9,50.8,21,88.4
26,40.9,50.8,21,88.4
27,40.9,50.8,21,88.4
28,40.9,50.8,21,88.4
29,40.9,50.8,21,88.4
27,37.1,47,17.2,75.8
28,37.1,47,17.2,75.8
29,37.1,47,17.2,75.8
1,23.4,34.3,2.9,73.4
2,23.4,34.3,2.9,73.4
3,23.4,34.3,2.9,73.4
4,23.4,34.3,2.9,73.4
5,23.4,34.3,2.9,73.4
6,23.4,34.3,2.9,73.4
7,23.4,34.3,2.9,73.4
8,23.4,34.3,2.9,73.4
9,23.4,34.3,2.9,73.4
10,23.4,34.3,2.9,73.4
11,23.4,34.3,2.9,73.4
12,23.4,34.3,2.9,73.4
13,23.4,34.3,2.9,73.4
14,23.4,34.3,2.9,73.4
15,23.4,34.3,2.9,73.4
16,23.4,34.3,2.9,73.4
17,23.4,34.3,2.9,73.4
18,23.4,34.3,2.9,73.4
19,23.4,34.3,2.9,73.4
23,23.4,34.3,2.9,73.4
24,23.4,34.3,2.9,73.4
25,23.4,34.3,2.9,73.4
26,23.4,34.3,2.9,73.4
27,23.4,34.3,2.9,73.4
28,23.4,34.3,2.9,73.4
29,23.4,34.3,2.9,73.4
0,43.9,53.8,22.4,89.7
1,43.9,53.8,22.4,89.7
2,43.9,53.8,22.4,89.7
3,43.9,53.8,22.4,89.7
4,43.9,53.8,22.4,89.7
5,43.9,53.8,22.4,89.7
6,43.9,53.8,22.4,89.7
7,43.9,53.8,22.4,89.7
8,43.9,53.8,22.4,89.7
9,43.9,53.8,22.4,89.7
10,43.9,53.8,22.4,89.7
11,43.9,53.8,22.4,89.7
12,43.9,53.8,22.4,89.7
13,43.9,53.8,22.4,89.7
14,43.9,53.8,22.4,89.7
15,43.9,53.8,22.4,89.7
16,43.9,53.8,22.4,89.7
17,43.9,53.8,22.4,89.7
18,43.9,53.8,22.4,89.7
19,43.9,53.8,22.4,89.7
21,43.9,53.8,22.4,89.7
22,43.9,53.8,22.4,89.7
23,43.9,53.8,22.4,89.7
24,43.9,53.8,22.4,89.7
25,43.9,53.8,22.4,89.7
26,43.9,53.8,22.4,89.7
27,43.9,53.8,22.4,89.7
28,43.9,53.8,22.4,89.7
29,43.9,53.8,22.4,89.7
23,40.2,50.1,20.3,74.2
24,40.2,50.1,20.3,74.2
28,40.2,50.1,20.3,74.2
29,40.2,50.1,20.3,74.2
7,37.1,47,17.2,78.2
9,37.1,47,17.2,78.2
10,37.1,47,17.2,78.2
11,37.1,47,17.2,78.2
12,37.1,47,17.2,78.2
13,37.1,47,17.2,78.2
14,37.1,47,17.2,78.2
15,37.1,47,17.2,78.2
16,37.1,47,17.2,78.2
17,37.1,47,17.2,78.2
18,37.1,47,17.2,78.2
19,37.1,47,17.2,78.2
20,37.1,47,17.2,78.2
21,37.1,47,17.2,78.2
22,37.1,47,17.2,78.2
23,37.1,47,17.2,78.2
24,37.1,47,17.2,78.2
25,37.1,47,17.2,78.2
26,37.1,47,17.2,78.2
27,37.1,47,17.2,78.2
28,37.1,47,17.2,78.2
29,37.1,47,17.2,78.2
0,23.9,33.8,4.1,72.3
1,23.9,33.8,4.1,72.3
2,23.9,33.8,4.1,72.3
3,23.9,33.8,4.1,72.3
4,23.9,33.8,4.1,72.3
5,23.9,33.8,4.1,72.3
6,23.9,33.8,4.1,72.3
7,23.9,33.8,4.1,72.3
8,23.9,33.8,4.1,72.3
9,23.9,33.8,4.1,72.3
10,23.9,33.8,4.1,72.3
11,23.9,33.8,4.1,72.3
12,23.9,33.8,4.1,72.3
13,23.9,33.8,4.1,72.3
14,23.9,33.8,4.1,72.3
15,23.9,33.8,4.1,72.3
